date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_tries,away_tries
1969-03-22,France,Wales,8,8,1969 Five Nations Championship,Paris,France,False,,
1969-04-12,Wales,England,30,9,1969 Five Nations Championship,Cardiff,Wales,False,,
1969-05-31,New Zealand,Wales,19,0,"1969 Wales tour of New Zealand, Australia and Fiji",Christchurch,New Zealand,False,,
1969-06-14,New Zealand,Wales,33,12,"1969 Wales tour of New Zealand, Australia and Fiji",Auckland,New Zealand,False,,
1969-06-21,Australia,Wales,16,19,"1969 Wales tour of Australia, New Zealand and Fiji",Sydney,Australia,False,,
1969-08-02,South Africa,Australia,30,11,1969 Australia tour of South Africa,Johannesburg,South Africa,False,,
1969-08-16,South Africa,Australia,16,9,1969 Australia tour of South Africa,Durban,South Africa,False,,
1969-09-06,South Africa,Australia,11,3,1969 Australia tour of South Africa,Cape Town,South Africa,False,,
1969-09-20,South Africa,Australia,19,8,1969 Australia tour of South Africa,Bloemfontein,South Africa,False,,
1969-12-06,Scotland,South Africa,6,3,1969–70 South Africa rugby union tour of Britain and Ireland,Edinburgh,Scotland,False,,
1969-12-20,England,South Africa,11,8,1969-70 South Africa rugby union tour of Britain and Ireland,London,England,False,,
1970-01-10,Scotland,France,9,11,1970 Five Nations Championship,Edinburgh,Scotland,False,,
1970-01-10,Ireland,South Africa,8,8,1969–70 South Africa rugby union tour of Britain and Ireland,Dublin,Ireland,False,,
1970-01-24,Wales,South Africa,6,6,1969–70 South Africa tour of Great Britain and Ireland,Cardiff,Wales,False,,
1970-01-24,France,Ireland,8,0,1970 Five Nations Championship,Paris,France,False,,
1970-02-07,Wales,Scotland,18,9,1970 Five Nations Championship,Cardiff,Wales,False,,
1970-02-14,England,Ireland,9,3,1970 Five Nations Championship,London,England,False,,
1970-02-21,Scotland,England,14,5,1970 Five Nations Championship,Edinburgh,Scotland,False,,
1970-02-28,Ireland,Scotland,16,11,1970 Five Nations Championship,Dublin,Ireland,False,,
1970-02-28,England,Wales,13,17,1970 Five Nations Championship,London,England,False,,
1970-03-14,Ireland,Wales,14,0,1970 Five Nations Championship,Dublin,Ireland,False,,
1970-04-04,Wales,France,11,6,1970 Five Nations Championship,Cardiff,Wales,False,,
1970-04-18,France,England,35,13,1970 Five Nations Championship,Colombes,France,False,,
1970-06-06,Australia,Scotland,23,3,1970 Scotland tour of Australia,Sydney,Australia,False,,
1970-07-25,South Africa,New Zealand,17,6,1970 New Zealand tour,Pretoria,South Africa,False,,
1970-08-08,South Africa,New Zealand,8,9,1970 New Zealand tour,Cape Town,South Africa,False,,
1970-08-29,South Africa,New Zealand,14,3,1970 New Zealand tour,Port Elizabeth,South Africa,False,,
1970-09-12,South Africa,New Zealand,20,17,1970 New Zealand tour,Johannesburg,South Africa,False,,
1971-01-16,Wales,England,22,6,1971 Five Nations Championship,Cardiff,Wales,False,,
1971-01-16,France,Scotland,13,8,1971 Five Nations Championship,Colombes,France,False,,
1971-01-30,Ireland,France,9,9,1971 Five Nations Championship,Dublin,Ireland,False,,
1971-02-06,Scotland,Wales,18,19,1971 Five Nations Championship,Edinburgh,Scotland,False,,
1971-02-13,Ireland,England,6,9,1971 Five Nations Championship,Dublin,Ireland,False,,
1971-02-27,Scotland,Ireland,5,17,1971 Five Nations Championship,Edinburgh,Scotland,False,,
1971-02-27,England,France,14,14,1971 Five Nations Championship,London,England,False,,
1971-03-13,Wales,Ireland,23,9,1971 Five Nations Championship,Cardiff,Wales,False,,
1971-03-20,England,Scotland,15,16,1971 Five Nations Championship,London,England,False,,
1971-03-27,Scotland,England,26,6,Rugby Union Centenary International,Edinburgh,Scotland,False,,
1971-03-27,France,Wales,5,9,1971 Five Nations Championship,Paris,France,False,,
1971-06-12,South Africa,France,22,9,1971 France rugby union tour of South Africa,Bloemfontein,South Africa,False,,
1971-06-19,South Africa,France,8,8,1971 France rugby union tour of South Africa,Durban,South Africa,False,,
1971-07-17,Australia,South Africa,11,19,1971 South Africa tour of Australia,Sydney,Australia,False,,
1971-07-31,Australia,South Africa,6,14,1971 South Africa tour of Australia,Brisbane,Australia,False,,
1971-08-07,Australia,South Africa,6,18,1971 South Africa tour of Australia,Sydney,Australia,False,,
1971-11-20,France,Australia,11,13,1971 Australia tour of France,Toulouse,France,False,,
1971-11-27,France,Australia,18,9,1971 Australia tour of France,Colombes,France,False,,
1972-01-15,Scotland,France,20,9,1972 Five Nations Championship,Edinburgh,Scotland,False,,
1972-01-15,England,Wales,3,12,1972 Five Nations Championship,London,England,False,,
1972-01-29,France,Ireland,9,14,1972 Five Nations Championship,Paris,France,False,,
1972-02-05,Wales,Scotland,35,12,1972 Five Nations Championship,Cardiff,Wales,False,,
1972-02-12,England,Ireland,12,16,1972 Five Nations Championship,London,England,False,,
1972-02-26,France,England,37,12,1972 Five Nations Championship,Colombes,France,False,,
1972-03-18,Scotland,England,23,9,1972 Five Nations Championship,Edinburgh,Scotland,False,,
1972-03-25,Wales,France,20,6,1972 Five Nations Championship,Cardiff,Wales,False,,
1972-04-29,Ireland,France,24,14,Test Match,Dublin,Ireland,False,,
1972-06-03,South Africa,England,9,18,1972 England rugby union tour of South Africa,Johannesburg,South Africa,False,,
1972-06-17,Australia,France,14,14,1972 France tour of Australia,Sydney,Australia,False,,
1972-06-25,Australia,France,15,16,1972 France tour of Australia,Brisbane,Australia,False,,
1972-08-19,New Zealand,Australia,29,6,1972 Australia tour of New Zealand,Wellington,New Zealand,False,,
1972-09-02,New Zealand,Australia,30,17,1972 Australia tour of New Zealand,Christchurch,New Zealand,False,,
1972-09-16,New Zealand,Australia,38,3,1972 Australia tour of New Zealand,Auckland,New Zealand,False,,
1972-12-02,Wales,New Zealand,16,19,1972–73 New Zealand tour of Europe and North America,Cardiff,Wales,False,,
1972-12-16,Scotland,New Zealand,9,14,1972-73 New Zealand tour,Edinburgh,Scotland,False,,
1973-01-06,England,New Zealand,0,9,"1972–73 New Zealand rugby union tour of Britain, Ireland, France and North America",London,England,False,,
1973-01-13,France,Scotland,16,13,1973 Five Nations Championship,Paris,France,False,,
1973-01-20,Ireland,New Zealand,10,10,"1972–73 New Zealand rugby union tour of Britain, Ireland, France and North America",Dublin,Ireland,False,,
1973-01-20,Wales,England,25,9,1973 Five Nations Championship,Cardiff,Wales,False,,
1973-02-03,Scotland,Wales,10,9,1973 Five Nations Championship,Edinburgh,Scotland,False,,
1973-02-10,Ireland,England,18,9,1973 Five Nations Championship,Dublin,Ireland,False,,
1973-02-10,France,New Zealand,13,6,1972–73 New Zealand tour,Paris,France,False,,
1973-02-24,Scotland,Ireland,19,14,1973 Five Nations Championship,Edinburgh,Scotland,False,,
1973-02-24,England,France,14,6,1973 Five Nations Championship,London,England,False,,
1973-03-10,Wales,Ireland,16,12,1973 Five Nations Championship,Cardiff,Wales,False,,
1973-03-17,England,Scotland,20,13,1973 Five Nations Championship,London,England,False,,
1973-03-24,France,Wales,12,3,1973 Five Nations Championship,Paris,France,False,,
1973-04-14,Ireland,France,6,4,1973 Five Nations Championship,Dublin,Ireland,False,,
1973-09-15,New Zealand,England,10,16,1973 England rugby union tour of Fiji and New Zealand,Auckland,New Zealand,False,,
1973-11-10,Wales,Australia,24,0,1973 Australia tour of Great Britain and Italy,Cardiff,Wales,False,,
1973-11-17,England,Australia,20,3,1973 Australia tour of Great Britain and Italy,London,England,False,,
1974-01-19,Wales,Scotland,6,0,1974 Five Nations Championship,Cardiff,Wales,False,,
1974-01-19,France,Ireland,9,6,1974 Five Nations Championship,Paris,France,False,,
1974-02-02,Scotland,England,16,14,1974 Five Nations Championship,Edinburgh,Scotland,False,,
1974-02-02,Ireland,Wales,9,9,1974 Five Nations Championship,Dublin,Ireland,False,,
1974-02-06,England,Ireland,21,26,1974 Five Nations Championship,London,England,False,,
1974-02-16,Wales,France,16,16,1974 Five Nations Championship,Cardiff,Wales,False,,
1974-03-02,France,England,12,12,1974 Five Nations Championship,Paris,France,False,,
1974-03-02,Ireland,Scotland,9,6,1974 Five Nations Championship,Dublin,Ireland,False,,
1974-03-16,Scotland,France,19,6,1974 Five Nations Championship,Edinburgh,Scotland,False,,
1974-03-16,England,Wales,16,12,1974 Five Nations Championship,London,England,False,,
1974-05-25,Australia,New Zealand,6,11,1974 New Zealand tour of Australia,Sydney,Australia,False,,
1974-06-01,Australia,New Zealand,16,16,1974 New Zealand tour of Australia,Brisbane,Australia,False,,
1974-06-08,Australia,New Zealand,6,16,1974 New Zealand tour of Australia,Sydney,Australia,False,,
1974-06-20,Argentina,France,15,20,1974 France tour of Brazil and Argentina,Buenos Aires,Argentina,False,,
1974-06-29,Argentina,France,27,31,1974 France tour of Brazil and Argentina,Buenos Aires,Argentina,False,,
1974-11-23,France,South Africa,4,13,1974 South Africa rugby union tour of France,Toulouse,France,False,,
1974-11-23,Ireland,New Zealand,6,15,"1974 New Zealand rugby union tour of Ireland, Wales and England",Dublin,Ireland,False,,
1974-11-30,France,South Africa,8,10,1974 South Africa rugby union tour of France,Paris,France,False,,
1975-01-18,Ireland,England,12,9,1975 Five Nations Championship,Dublin,Ireland,False,,
1975-01-18,France,Wales,10,25,1975 Five Nations Championship,Paris,France,False,,
1975-02-01,Scotland,Ireland,20,13,1975 Five Nations Championship,Edinburgh,Scotland,False,,
